"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1961","Tom Satriano","Angels","35","110","1","15","8","2",".104",".228",".198",".294",".302",".277","57","0.4","-5.6","1.6","-0.1","20","19",".596","-6.0","1.0","0.6","","","1011454"
"1982","Garry Templeton","Padres","141","601","6","76","64","27",".105",".277",".247",".279",".352",".277","76","-0.9","-17.2","12.4","1.6","26","139",".631","-16.3","5.0","7.4","0.26","-11.27","1012909"
"1969","Bill Mazeroski","Pirates","67","256","3","13","25","1",".079",".231",".229",".298",".308",".277","71","-0.1","-8.5","4.5","0.5","32","52",".606","-8.4","3.0","1.5","","","1008316"
"1971","John Boccabella","Expos","74","195","3","15","15","0",".113",".240",".220",".278",".333",".277","70","-0.3","-6.9","-0.9","-0.2","30","39",".612","-6.5","-1.0","0.1","","","1001104"
"1972","Larry Howard","Astros","54","175","2","16","13","0",".083",".264",".223",".299",".306",".277","75","0.0","-4.8","-3.1","-0.2","27","35",".605","-4.8","-6.0","2.9","","","1006084"
"1974","Tim Johnson","Brewers","93","265","0","25","25","4",".086",".302",".245",".278",".331",".277","72","-0.3","-8.4","5.5","0.6","24","60",".609","-8.1","2.0","3.5","-0.16","-5.04","1006506"
"1967","Ron Fairly","Dodgers","153","554","10","45","55","1",".101",".224",".220",".295",".321",".277","84","-1.0","-10.7","-15.6","-0.8","28","107",".616","-9.8","-8.0","-7.6","","","1003907"
"1977","Ollie Brown","Phillies","53","75","1","5","13","1",".114",".286",".243",".280",".357",".277","64","-0.2","-3.4","-1.5","-0.3","33","17",".637","-3.3","-1.0","-0.5","-0.06","-1.72","1001551"
"1968","Dave Nelson","Indians","88","216","0","26","19","23",".074",".280",".233",".295",".307",".277","81","2.3","-1.7","0.4","0.5","24","44",".602","-4.0","-1.0","1.4","","","1009499"
"1981","Steve Yeager","Dodgers","42","92","3","5","7","0",".128",".217",".209",".261",".337",".277","74","0.0","-2.6","3.6","0.4","32","18",".598","-2.6","2.0","1.6","-0.68","-1.83","1014332"
"1978","Dave Cash","Expos","159","703","3","66","43","12",".062",".259",".252",".291",".315",".277","71","0.2","-22.5","7.6","0.8","30","166",".605","-22.7","4.0","3.6","-0.90","-12.12","1002041"
"1972","Eric Soderholm","Twins","93","313","13","28","39","3",".171",".181",".188",".245",".359",".277","77","-0.4","-7.7","8.9","1.0","23","54",".604","-7.3","7.0","1.9","","","1012260"
"1971","Tommy Helms","Reds","150","588","3","40","52","3",".068",".266",".258",".289",".325",".277","75","-0.8","-17.0","19.6","2.2","30","141",".615","-16.2","16.0","3.6","","","1005616"
"1980","Gary Thomasson","Dodgers","80","129","1","6","12","0",".054",".274",".216",".326",".270",".277","73","0.0","-3.9","-1.5","-0.1","28","24",".596","-3.9","-1.0","-0.5","0.43","-2.22","1012977"
"1969","Tommy Helms","Reds","126","508","1","38","40","4",".048",".286",".269",".296",".317",".277","63","-1.3","-22.6","-1.9","-0.8","28","129",".613","-21.3","-5.0","3.1","","","1005616"
"1975","Milt May","Astros","111","420","4","29","52","1",".075",".259",".241",".287",".316",".277","72","-0.5","-13.8","7.9","0.8","24","93",".603","-13.3","2.0","5.9","-1.67","-8.54","1008304"
"1969","Jose Tartabull","Athletics","75","282","0","28","11","3",".049",".277",".267",".290",".316",".277","73","-0.8","-9.7","1.7","0.0","30","71",".606","-8.9","3.0","-1.3","","","1012830"
