"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1968","Bill Connors","Mets","9","3","0","0","0","1.000","1.000","1.000",".794","441","0.0","0.2","26","1","0","1","0","0","0","1","2.000","1.0","0.0","","","","1","1002522"
"1963","Billy Hoeft","Giants","23","3","0","1","0","1.000","1.000","1.000",".792","431","0.0","0.2","31","1","0","1","0","0","0","1","2.000","1.1","0.0","","","","1","1005893"
"1982","Buddy Biancalana","Royals","3","3","0","0","0",".500",".667","1.500",".782","398","0.0","0.2","22","1","0","1","0","0","0","0","2.167","1.1","1.0","-0.10","0.04","0.00","2","1000942"
"1980","Donnie Moore","Cardinals","11","6","0","2","0",".750",".750","1.000",".779","414","0.0","0.3","26","3","0","0","0","0","0","2","1.750","2.1","0.0","-0.07","0.09","-0.12","4","1009102"
"1968","Bill Virdon","Pirates","6","3","1","2","0",".333",".333","1.333",".779","432","0.0","0.1","37","1","1","0","0","0","0","0","1.667","1.0","0.0","","","","3","1013437"
"1967","Ed Herrmann","White Sox","2","4","0","1","0",".667",".750","1.000",".740","400","0.0","0.3","20","2","0","1","1","0","0","0","1.750","1.3","1.0","","","","3","1005732"
"1982","Jay Baller","Phillies","4","1","0","0","0",".000","1.000",".000",".737","387","0.0","0.0","21","0","0","0","0","1","0","0","1.000","0.3","0.0","0.00","0.03","0.00","0","1000492"
"1958","Glenn Cox","Athletics","2","1","0","0","0",".000","1.000",".000",".735","374","0.0","0.0","27","0","0","0","0","1","0","0","1.000","0.3","0.0","","","","0","1002701"
"1973","Barry Foote","Expos","6","6","0","1","0",".667",".667","1.000",".734","367","0.0","0.2","21","4","0","0","0","0","0","0","1.667","1.8","","","","","6","1004210"
"1963","Alan Koch","Tigers","8","3","0","1","0",".667",".667","1.000",".731","365","0.0","0.1","25","2","0","0","0","0","0","0","1.667","0.9","0.0","","","","3","1007068"
"1958","Curt Barclay","Giants","6","6","0","0","0",".667",".667","1.000",".728","349","0.0","0.3","26","4","0","0","0","0","0","0","1.667","1.9","0.0","","","","6","1000534"
"1961","Dave Wickersham","Athletics","17","3","0","3","0",".667",".667","1.000",".727","345","0.0","0.1","25","2","0","0","0","0","0","0","1.667","0.9","0.0","","","","3","1013917"
"1964","Johnny Podres","Dodgers","2","1","0","0","0",".000","1.000",".000",".723","381","0.0","0.0","31","0","0","0","0","1","0","0","1.000","0.3","0.0","","","","0","1010406"
"1967","John Miller","Orioles","2","1","0","0","0",".000","1.000",".000",".722","386","0.0","0.0","26","0","0","0","0","1","0","0","1.000","0.3","0.0","","","","0","1008907"
"1975","Ken Crosby","Cubs","9","1","0","0","0",".000","1.000",".000",".716","346","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.00","0.00","0","1002801"
"1962","Ray Rippelmeyer","Senators","18","6","1","1","0",".500",".500","1.167",".714","342","0.0","0.3","28","3","1","0","0","0","0","0","1.667","1.8","0.0","","","","6","1010981"
"1980","Brad Gulden","Yankees","2","3","1","2","0",".333",".333","1.333",".712","355","0.0","0.1","24","1","1","0","0","0","0","0","1.667","0.9","0.0","-0.03","0.03","0.00","3","1005133"
"1979","Dwight Bernard","Mets","32","3","0","0","0",".000","1.000",".000",".711","361","0.0","0.1","27","0","0","1","0","0","0","2","1.000","0.9","0.0","-0.04","0.00","-0.05","0","1000887"
"1979","Terry Forster","Dodgers","17","1","0","0","0",".000","1.000",".000",".711","361","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.00","0.00","0","1004236"
"1979","Bob Kearney","Giants","2","1","0","0","0",".000","1.000",".000",".711","361","0.0","0.0","22","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.01","0.00","0","1006728"
"1973","Ken Holtzman","Athletics","41","1","0","0","0",".000","1.000",".000",".710","366","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1005989"
"1962","Wynn Hawkins","Indians","3","1","0","1","0",".000","1.000",".000",".709","340","0.0","0.0","26","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1005515"
"1962","Dick LeMay","Giants","9","1","0","0","0",".000","1.000",".000",".709","342","0.0","0.0","23","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1007514"
"1974","Nyls Nyman","White Sox","5","15","0","4","1",".643",".667",".929",".708","364","0.2","0.5","20","9","0","0","0","1","0","0","1.595","4.3","0.0","-0.24","0.87","0.00","14","1009671"
"1980","Mark Lee","Pirates","4","1","0","0","0",".000","1.000",".000",".708","363","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.08","0.00","0","1007459"
"1980","Dave Tomlin","Reds","27","1","0","0","0",".000","1.000",".000",".708","366","0.0","0.0","31","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.01","0.00","0","1013110"
"1970","Roger Nelson","Royals","4","1","0","0","0",".000","1.000",".000",".708","350","0.0","0.0","26","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1009511"
"1970","Jerry Nyman","Padres","3","1","0","0","0",".000","1.000",".000",".708","337","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1009670"
"1978","Dan Spillner","Padres","17","2","0","0","0",".000","1.000",".000",".707","367","0.0","0.1","26","0","0","1","0","0","0","1","1.000","0.6","0.0","-0.02","0.03","-0.03","0","1012342"
"1957","Curt Flood","Redlegs","3","3","1","1","0",".333",".333","1.333",".706","336","0.0","0.1","19","1","1","0","0","0","0","0","1.667","0.9","0.0","","","","3","1004165"
"1983","Tommy Boggs","Braves","5","1","0","0","0",".000","1.000",".000",".706","353","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.04","0.00","0","1001123"
"1981","Mike Marshall","Mets","20","1","0","0","0",".000","1.000",".000",".706","361","0.0","0.0","38","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.00","0.00","0","1008144"
"1959","Vito Valentinetti","Senators","7","1","0","0","0",".000","1.000",".000",".705","347","0.0","0.0","30","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1013330"
"1959","Dom Zanni","Giants","9","1","0","0","0",".000","1.000",".000",".705","334","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1014417"
"1959","George Zuverink","Orioles","6","2","0","0","0",".000","1.000",".000",".705","353","0.0","0.1","34","0","0","2","0","0","0","0","1.000","0.6","0.0","","","","0","1014466"
"1969","Fred Wenz","Red Sox","8","1","0","0","0",".000","1.000",".000",".705","339","0.0","0.0","27","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1013781"
"1958","Joe Presko","Tigers","7","1","0","0","0",".000","1.000",".000",".703","353","0.0","0.0","29","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1010522"
